date,search
2019-04-04,28.00982
2019-04-05,28.74692
2019-04-06,39.92628
2019-04-07,36.73218
2019-04-08,21.00737
2019-04-09,17.69041
2019-04-10,17.19901
2019-04-11,28.62407
2019-04-12,35.01228
2019-04-13,48.77149
2019-04-14,27.39557
2019-04-15,20.76167
2019-04-16,19.28746
2019-04-17,30.58968
2019-04-18,33.29238
2019-04-19,34.64373
2019-04-20,47.91154
2019-04-21,32.55528
2019-04-22,19.77886
2019-04-23,24.07862
2019-04-24,26.41277
2019-04-25,23.46437
2019-04-26,35.50368
2019-04-27,55.28255
2019-04-28,36.36363
2019-04-29,26.90417
2019-04-30,23.58722
2019-05-01,25.67567
2019-05-02,21.86732
2019-05-03,27.88697
2019-05-04,30.83538
2019-05-05,34.39803
2019-05-06,28.86977
2019-05-07,28.25552
2019-05-08,22.48157
2019-05-09,29.85257
2019-05-10,42.13759
2019-05-11,50.85995
2019-05-12,36.73218
2019-05-13,25.42997
2019-05-14,22.97297
2019-05-15,26.78132
2019-05-16,34.15233
2019-05-17,44.10319
2019-05-18,52.7027
2019-05-19,30.95823
2019-05-20,31.08108
2019-05-21,26.28992
2019-05-22,23.34152
2019-05-23,26.04422
2019-05-24,47.17444
2019-05-25,50.2457
2019-05-26,35.50368
2019-05-27,24.44717
2019-05-28,23.95577
2019-05-29,31.08108
2019-05-30,27.27272
2019-05-31,36.24078
2019-06-01,57.1253
2019-06-02,38.57493
2019-06-03,25.42997
2019-06-04,26.16707
2019-06-05,32.06388
2019-06-06,38.20638
2019-06-07,36.24078
2019-06-08,46.43734
2019-06-09,24.32432
2019-06-10,19.77886
2019-06-11,21.74447
2019-06-12,24.20147
2019-06-13,24.32432
2019-06-14,35.62653
2019-06-15,46.06879
2019-06-16,35.74938
2019-06-17,23.71007
2019-06-18,21.99017
2019-06-19,27.27272
2019-06-20,35.01228
2019-06-21,40.04914
2019-06-22,48.03439
2019-06-23,38.32923
2019-06-24,24.07862
2019-06-25,29.11547
2019-06-26,32.67813
2019-06-27,36.11793
